Repo_Name,Repo_URL,Stars,Forks,contributors_count,create_date,repo_age_days,PRs,Issues,Total_MD_Files,Has_SECURITY,Has_CONTRIBUTING,Has_SKILL,Has_AGENTS
openclaw,https://github.com/openclaw/openclaw,387625,81375,3153,2025-11-24T10:16:47Z,274,78596,48703,1225,True,True,True,True
superpowers,https://github.com/obra/superpowers,277630,24832,44,2025-10-09T19:45:18Z,320,1152,866,94,False,False,True,True
ECC,https://github.com/affaan-m/ECC,243237,36793,318,2026-01-18T00:51:51Z,220,2022,719,2516,True,True,True,True
skills,https://github.com/mattpocock/skills,236890,20163,7,2026-02-03T11:15:53Z,203,147,711,112,False,False,True,True
hermes-agent,https://github.com/NousResearch/hermes-agent,236495,47760,3042,2025-07-22T22:22:28Z,399,70647,23996,1558,True,True,True,True
n8n,https://github.com/n8n-io/n8n,202432,60387,772,2019-06-22T09:24:21Z,2621,26695,10102,625,True,True,True,True
opencode,https://github.com/anomalyco/opencode,201408,26098,1004,2025-04-30T20:08:00Z,482,19600,24849,152,True,True,True,True
claw-code,https://github.com/ultraworkers/claw-code,195113,108918,30,2026-03-31T08:58:08Z,147,385,2212,58,True,True,False,True
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186870,46052,840,2023-03-16T09:21:07Z,1258,8681,3945,399,True,True,True,True
skills,https://github.com/anthropics/skills,171610,20386,16,2025-09-22T15:53:31Z,337,1180,379,113,False,False,True,False
JavaGuide,https://github.com/Snailclimb/JavaGuide,158038,46171,742,2018-05-07T13:27:00Z,3032,1609,1160,455,False,False,False,False
langflow,https://github.com/langflow-ai/langflow,153684,9934,378,2023-02-08T22:28:03Z,1294,10538,3436,121,True,True,True,True
dify,https://github.com/langgenius/dify,153519,24261,1445,2023-04-12T07:40:24Z,1231,17467,18719,160,True,True,True,True
open-webui,https://github.com/open-webui/open-webui,149927,21871,873,2023-10-06T22:08:27Z,1054,10436,9459,12,True,False,False,False
agency-agents,https://github.com/msitarzewski/agency-agents,148040,23894,96,2025-10-13T12:12:29Z,316,538,148,319,True,True,False,False
langchain,https://github.com/langchain-ai/langchain,144997,24173,3725,2022-10-17T02:58:36Z,1409,24031,10065,29,False,False,False,True
system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143131,34841,31,2025-03-05T16:38:29Z,538,219,212,3,False,False,False,False
claude-code,https://github.com/anthropics/claude-code,143021,22885,55,2025-02-22T17:41:21Z,549,1276,86937,106,True,False,True,False
awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,134305,19747,106,2024-04-29T05:30:25Z,848,773,173,272,False,False,True,True
cc-switch,https://github.com/farion1231/cc-switch,129411,8875,211,2025-08-04T14:16:16Z,386,1755,4803,203,True,True,False,False
ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,120973,12979,80,2025-11-30T11:36:31Z,268,275,178,143,True,True,True,False
generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118556,62513,154,2023-06-19T16:28:59Z,1163,886,244,2261,True,True,True,True
codex,https://github.com/openai/codex,118272,18022,579,2025-04-13T05:37:54Z,499,15311,24296,173,True,True,True,True
MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,116530,17721,101,2024-03-11T02:57:34Z,898,413,785,6,True,False,True,False
ponytail,https://github.com/DietrichGebert/ponytail,111245,6115,64,2026-06-12T00:52:37Z,75,469,275,56,False,False,True,True
browser-use,https://github.com/browser-use/browser-use,110529,12164,355,2024-10-31T16:00:56Z,663,3519,1617,58,True,True,True,True
awesome-design-md,https://github.com/VoltAgent/awesome-design-md,110432,12582,4,2026-03-31T16:37:01Z,147,69,383,149,False,True,False,False
supabase,https://github.com/supabase/supabase,108412,13653,2022,2019-10-12T05:56:49Z,2509,23791,5862,302,False,True,True,True
gemini-cli,https://github.com/google-gemini/gemini-cli,106688,14486,692,2025-04-17T17:04:31Z,495,12660,14112,168,True,True,True,False
LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,103794,15889,69,2023-07-23T18:15:57Z,1129,591,240,75,False,False,False,False
TradingAgents,https://github.com/TauricResearch/TradingAgents,100360,19363,20,2024-12-28T03:31:08Z,606,756,462,2,False,False,False,False
pi,https://github.com/earendil-works/pi,97336,12037,283,2025-08-09T14:03:50Z,381,2932,5402,97,True,True,True,True
autoresearch,https://github.com/karpathy/autoresearch,94696,13354,9,2026-03-06T22:00:43Z,172,404,113,2,False,False,False,False
claude-mem,https://github.com/thedotmack/claude-mem,91849,8067,139,2025-08-31T20:50:03Z,359,1501,1976,190,True,False,True,False
open-design,https://github.com/nexu-io/open-design,91521,10533,415,2026-04-28T04:25:20Z,119,4543,1842,2295,False,True,True,True
agent-skills,https://github.com/addyosmani/agent-skills,89783,9611,68,2026-02-15T20:20:26Z,191,359,139,92,False,True,True,True
